@.truskawkowa.wojo,I always knock before opening my fridge. There could be a salad dressing,0
@not_infocus,my grandfather is a raging drug addict,0
@kevinavi,leave some milk for daddy,0
@ranzip,"wait, is that really milk?",0
@0.realpain,lebron james,0
@rokic_li,"when you brush your teeth, it's the only time when you wash your skeleton",0
@idiot._.dino147,make a scene where it chases a mouse and the mouse runs away and the cat says 'ill get you next time-',0
@marejcar,Just don't buy fifa,1
@davis__64,Oh my god! they oofed Kenny!,10
@sonikors,ehhhhhhhhhhhhh kenny,10
@sumsargaming,a penquin with a monocle as a villain,10
@kodutu1,medium boss Thor from god of war,11
@crazymanta_2011,giggity,11
@kotorkotor304,aperture science is better than black mesa,11
@._robert_fr,Double it and give it to the next person,11
@threeglaze,joel,11
@beesbuzz321,"A pixel art cat npc that says ""This game is pawsome""",12
@pike2312316,pike,12
@mice,the one piece is real,12
@manblackballs,dig dog big sock fork dock duck,12
@lucek1977,Pchta,12
@Dr.Evil,"I like chicken, I like liver, meow mix meow mix please deliver",12
@SumsarGaming,nyan cat avoid asteroida in soace type stuff and the end reward would be annother catnip,12
@marcellcsuka386,only a spoonfull,12
@smthng,but then all the catnip disapeared...,13
@sebastianfreiberg,Pretty cats notice pretty cats,13
@mundismundis,angry snake with a knife,13
@marcellcsuka386,do any of yall remember scrimbly quest,13
@kajto2tihor,I am the cat king!,13
@SYMBOLS,i love carpet on god,13
@spoconyszczuras,add cs go knife,13
@goku,red bird shooting lasers,14
@roblox. Worm,why am i in ur contacts ? ? ? ?,14
@milternate,Bababoey,14
@swedbank.ee,Add the pokemon diglett,14
@nuudlisupp,Hype for Estonia,14
@papapa parim suviiii,the world is not ready for this........ For me eating catnip,2
@cockoras,this catnip bussin,2
@jokerinsanit,pigeons,2
@tulnukas00,I have no life,2
@romaniavr,"when the cat eats catnip the cat would say ""mmh.. catnip""",2
@wise mistical tree,a tree says: are you over 25 and own a computer... I mean hello long lost animal,3
@blossom_crochet official:,a big dragon dropping smileys to you,3
@;-;,you know kit its not easy to get trough here but im sure you will,4
@brox,make a place when a dog comes there and the cat needs to run to a door to the next level,4
@aiden_pearce_anti_ghaca,what would a wook chuck chuck a wood chuck chuck,4
@terragamer123,can you make the cat use things it finds on the ground as hats?(for exemple a street cone),GLO
@blaaaaah,i love yabujin,5
@tsihvka,my friend took me in a van,5
@not_infocus,my mom beat me with a bat,5
@text your mom this,hey buy something in the game dude,5
@yeahh,next time send me a dm,5
@atusuc66,jo give me some of that catnip,5
@cockoras,legalize anabolic catnip,5
@smthng,meow,5
@SYMBOLS,waffles and pancakes,5
@dr. Doktorkockalovagalovagkocka,ate,5
@genjamal.,potato,5
@<3,paper bag,5
@not_infocus,cheese,5
@heshuks,raining frogs,6
@cezar4all,"if you see this, then idk",7
@acc,a guy who pets u,7
@koko_the_baddy37,I like ur mom,7
@maotsa_adventures,OTTO! NOOOO!!,7
@sidrunihelina,I hate rats,7
@text your mom this,magic john screen protector,8
@adrianzzilie_079,karl bartos sitting at the table eating soup,8
@lil.grandpa2137,timmah,8
@cat_boi_real,Silly car goofy silly goober,8
@rainbow_balls8,Why are you chewing ice cream? It's gum flavored.,8
@bsbdkve,Donuts,8
@swedbank.ee,hapukurgid,9
@ionatanty,south park kenny,9
@3xpireddate,add an afk animation for the cat,VFX
@prioteasaluca,a dog,GLO
@gregorikos,Cat runs out of energy and is slow asf -> changed to snowballs slow player,VFX
@yeahh,Add a squirrel enemy,GLO
@helina253,Make birds shoot exploding eggs,VFX
@alexdusk,Hidden passages in certain levels,VFX
@needlesslylarged,make a level where you don't have to fight a boss if you dont want to,5
@gamerboy3000,Add a toilet easter egg,0
@Alien4ted,A yoo give the cat some milk,GLO
@0utcast,Lots of catnip,GLO
@truthx_,after the cat goes crazy give it some powers,VFX
@razvanxx4,make a whooper easter egg,20
@sebastianfreiberg,"I'll be honest with you, I've never had to pay for anything",23
@beesbuzz321,a sandstorm with limited visibility and blowing wind,16
@sumsargaming,red paint tastes like blue paint,15
@thegostfac,make a dog that thinks he is a cat,16
@beesbuzz321,dog treats that can distract dogs if thrown,16
@riverclan.roleplay1,add an Angel boss. ( like one that loojs like an actual Angel aka an eye and wings or summ),18
@marcellcsuka386,"crazy? I was crazy once. They locked me in a room, a rubber room. A rubber room with rats. The rats made me crazy.",23
@very_inspiring,A dog that the cat meets and becomes friends with,16
